name,taxid
Clohesyomyces aquaticus,1231657
Paraphaeosphaeria sporulosa,1460663
Leptosphaeria maculans JN3,985895
Parastagonospora nodorum SN15,321614
Pyrenochaeta sp. DS3sAY3a,765867
Ascochyta rabiei,5454
Stemphylium lycopersici,183478
Alternaria alternata,5599
Pyrenophora teres f. teres 0-1,861557
Pyrenophora tritici-repentis Pt-1C-BFP,426418
Bipolaris sorokiniana ND90Pr,665912
Bipolaris zeicola 26-R-13,930089
Phaeomoniella chlamydospora,158046
Endocarpon pusillum Z07020,1263415
Cyphellophora europaea CBS 101466,1220924
Rhinocladiella mackenziei CBS 650.93,1442369
Capronia epimyces CBS 606.96,1182542
Capronia coronata CBS 617.96,1182541
Fonsecaea multimorphosa CBS 102226,1442371
Fonsecaea pedrosoi CBS 271.37,1442368
Fonsecaea erecta,1367422
Cladophialophora carrionii CBS 160.54,1279043
Cladophialophora bantiana CBS 173.52,1442370
Cladophialophora immunda,569365
Cladophialophora yegresii CBS 114405,1182544
Exophiala mesophila,212818
Exophiala xenobiotica,348802
Exophiala oligosperma,215243
Exophiala dermatitidis NIH/UT8656,858893
Exophiala aquamarina CBS 119918,1182545
Exophiala spinifera,91928
Exophiala sideris,1016849
Uncinocarpus reesii 1704,336963
Ascosphaera apis ARSEF 7405,392613
Coccidioides immitis RS,246410
Paracoccidioides brasiliensis,121759
Paracoccidioides lutzii Pb01,502779
Microsporum canis CBS 113480,554155
Nannizzia gypsea CBS 118893,535722
Trichophyton tonsurans CBS 112818,647933
Trichophyton rubrum,5551
Trichophyton benhamiae CBS 112371,663331
Helicocarpus griseus UAMH5409,1447875
Emmonsia crescens,73230
Emmonsia sp. CAC-2015a,1658172
Histoplasma capsulatum NAm1,339724
Histoplasma capsulatum G186AR,447093
Blastomyces percursus,1658174
Byssochlamys spectabilis No. 5,1356009
Elaphomyces granulatus,519963
Rasamsonia emersonii CBS 393.64,1408163
Talaromyces atroroseus,1441469
Talaromyces marneffei ATCC 18224,441960
Talaromyces islandicus,28573
Talaromyces stipitatus ATCC 10500,441959
Talaromyces verruculosus,198730
Penicilliopsis zonata CBS 506.65,1073090
Penicillium coprophilum,36646
Penicillium antarcticum,416450
Penicillium freii,48697
Penicillium subrubescens,1316194
Penicillium italicum,40296
Penicillium expansum,27334
Penicillium vulpinum,29845
Penicillium nordicum,229535
Penicillium arizonense,1835702
Penicillium brasilianum,104259
Penicillium griseofulvum,5078
Penicillium rubens Wisconsin 54-1255,500485
Penicillium steckii,303698
Penicillium flavigenum,254877
Aspergillus novofumigatus IBT 16806,1392255
Aspergillus wentii DTO 134E9,1073089
Aspergillus turcosus,1245748
Aspergillus brasiliensis CBS 101740,767769
Aspergillus luchuensis CBS 106.47,1137211
Aspergillus taichungensis,482145
Aspergillus calidoustus,454130
Aspergillus niger,5061
Aspergillus aculeatus ATCC 16872,690307
Aspergillus arachidicola,656916
Aspergillus flavus AF70,1392242
Aspergillus glaucus CBS 516.65,1160497
Aspergillus lentulus,293939
Aspergillus clavatus NRRL 1,344612
Aspergillus nidulans FGSC A4,227321
Aspergillus bombycis,109264
Aspergillus fischeri NRRL 181,331117
Aspergillus fumigatus Af293,330879
Aspergillus campestris IBT 28561,1392248
Aspergillus rambellii,308745
Aspergillus versicolor CBS 583.65,1036611
Aspergillus cristatus,573508
Aspergillus nomius NRRL 13137,1509407
Aspergillus carbonarius ITEM 5010,602072
Aspergillus thermomutatus,41047
Aspergillus ruber CBS 135680,1388766
Aspergillus udagawae,91492
Aspergillus sydowii CBS 593.65,1036612
Aspergillus terreus NIH2624,341663
Erysiphe necator,52586
Erysiphe pulchra,225359
Blumeria graminis f. sp. hordei DH14,546991
Blumeria graminis f. sp. tritici 96224,1268274
Oidiodendron maius Zn,913774
Pseudogymnoascus verrucosus,342668
Pseudogymnoascus destructans 20631-21,658429
Glarea lozoyensis ATCC 20868,1116229
Rutstroemia sp. NJR-2017a WRK4,2070412
Rhynchosporium commune,914237
Phialocephala scopiformis,149040
Phialocephala subalpina,576137
Diplocarpon rosae,946125
Marssonina coronariae,503106
Sclerotinia borealis F-4128,1432307
Sclerotinia sclerotiorum 1980 UF-70,665079
Rosellinia necatrix,77044
Pseudomassariella vexata,1141098
Pestalotiopsis fici W106-1,1229662
Microdochium bolleyi,196109
Hypoxylon sp. EC38,1001937
Coniochaeta ligniaria NRRL 30616,1408157
Gaeumannomyces tritici R3-111a-1,644352
Magnaporthiopsis poae ATCC 64411,644358
Diaporthe helianthi,158607
Diaporthe ampelina,1214573
Ophiostoma piceae UAMH 11346,1262450
Grosmannia clavigera kw1407,655863
Sporothrix schenckii ATCC 58251,1391915
Sporothrix insectorum RCEF 264,1081102
Madurella mycetomatis,100816
Neurospora crassa,5141
Sordaria macrospora k-hell,771870
Podospora anserina S mat+,515849
Ceratocystis fimbriata CBS 114723,1035309
Thielaviopsis punctulata,72032
Scedosporium apiospermum,563466
Lomentospora prolificans,41688
Verticillium dahliae,27337
Verticillium longisporum,100787
Colletotrichum sublineola,1173701
Colletotrichum gloeosporioides Cg-14,1237896
Colletotrichum simmondsii,703756
Colletotrichum tofieldiae,708197
Colletotrichum higginsianum IMI 349063,759273
Colletotrichum orbiculare MAFF 240422,1213857
Colletotrichum chlorophyti,708187
Colletotrichum orchidophilum,1209926
Colletotrichum incanum,1573173
Colletotrichum salicis,1209931
Stachybotrys chlorohalonata IBT 40285,1283841
Stachybotrys chartarum IBT 7711,1280523
Acremonium chrysogenum ATCC 11550,857340
Ustilaginoidea virens,1159556
Beauveria bassiana,176275
Cordyceps sp. RAO-2017,2004951
Cordyceps fumosorosea ARSEF 2679,1081104
Cordyceps confragosa RCEF 1005,1081108
Escovopsis weberi,150374
Trichoderma virens Gv29-8,413071
Trichoderma reesei RUT C-30,1344414
Trichoderma gamsii,398673
Trichoderma atroviride IMI 206040,452589
Trichoderma harzianum,5544
Pochonia chlamydosporia 170,1380566
Torrubiella hemipterigena,1531966
Moelleriella libera RCEF 2490,1081109
Claviceps purpurea 20.1,1111077
Metarhizium acridum CQMa 102,655827
Metarhizium album ARSEF 1941,1081103
Metarhizium robertsii,568076
Metarhizium majus ARSEF 297,1276143
Metarhizium rileyi RCEF 4871,1081105
Hirsutella minnesotensis 3608,1043627
Drechmeria coniospora,98403
Purpureocillium lilacinum,33203
Ophiocordyceps australis,1399860
Ophiocordyceps unilateralis,268505
Ophiocordyceps camponoti-rufipedis,2004952
Tolypocladium paradoxum,94208
Tolypocladium ophioglossoides CBS 100239,1163406
Tolypocladium capitatum,45235
Neonectria ditissima,78410
Fusarium avenaceum,40199
Fusarium oxysporum f. sp. cubense tropical race 4 54006,1089451
Fusarium oxysporum f. sp. radicis-cucumerinum,327505
Fusarium poae,36050
Fusarium graminearum,5518
Fusarium langsethiae,179993
Fusarium mangiferae,192010
Fusarium nygamai,42673
Fusarium fujikuroi,5127
Fusarium verticillioides 7600,334819



