Organisms,ASB14,ATP1B1,AXDND1,SMPDL3A,BLK,ANP32A
Balaenoptera acutorostrata,2,1,1,2,2,2
Lipotes vexillifer,2,1,1,2,2,2
Physeter catodon,2,1,1,2,2,3
Delphinapterus leucas,2,1,1,2,2,2
Tursiops truncatus,2,1,1,2,1,1
Orcinus orca,2,1,1,2,2,3
Odocoileus virginianus,2,1,1,2,2,2
Pantholops hodgsonii,2,1,1,2,2,2
Ovis aries musimon,2,1,1,2,2,4
Capra hircus,2,1,1,2,2,2
Bubalus bubalis,2,1,1,2,2,3
Bison bison,2,1,1,2,2,2
Bos taurus,2,1,1,2,2,2
Bos grunniens,2,1,1,2,2,2
Bos indicus,2,1,1,3,2,2
